[2022-08-04 09:25:55,901][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:25:55,901][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:25:55,901][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:25:55,901][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:02,084][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:04,177][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:05,895][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:07,426][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:08,883][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:10,544][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:22,250][INFO|home_page.py:26] >> loading Home data
[2022-08-04 09:26:22,250][INFO|home_page.py:26] >> loading Home data
