prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
111310100544,미쟝센,11131,샴푸,[3입] 퍼펙트세럼 오리지널 샴푸,814
111771001109,이니스프리,11177,립틴트,[P] 리얼핏 매트 리퀴드(1~10호),815
111290100601,해피바스,11129,바디워시,[2입] 와일드 체리 블러섬 바디워시,816
111270000238,일리윤,11127,클렌징 폼,프레쉬 모이스춰 클렌징폼,817
111380000223,아모레퍼시픽,11138,에센스 & 세럼,[대용량] 빈티지 싱글 익스트렉트 에센스,818
111130000561,아이오페,11113,쿠션,[P] [리필] 퍼펙트 스킨 파우더,819
111380000195,아모레퍼시픽,11138,스펀지&퍼프,모이스춰 바운드 쿠션 퍼프,820
111771000706,이니스프리,11177,클렌징,카멜리아에센셜샴푸 300ML,821
111650100260,한율,11165,세트,어린쑥 기초세트,822
007011000308,CEO 보떼,00701,여성향수,랑세 헬레네 EDP 50ML,823
110770000180,바이탈뷰티,11077,슬리밍,[NEW] 메타그린 슬림(30일분),824
007011000474,아리아나 그란데,00701,향수,아리아나그란데 클라우드 오데퍼퓸  50ML,825
007011000034,CEO 보떼,00701,남녀공용,4711 아쿠아콜로니아 핑크페퍼 앤 그레이프플룻 50ML,826
111771001178,이니스프리,11177,에센스 & 세럼,올리브 리얼 세럼 Ex.,827
002061000553,에뛰드하우스,00206,용기,마이뷰티툴 섀도우 공용기 4구 NEW,828
002131000005,에르비(LB),00213,아이섀도우,[에르비] 고저스 아이즈,829
005021000038,마이팩토리,00502,소품 & 도구,엘리트모델스 실리콘 발 패드,830
007021000060,프라다퍼퓸,00702,남성향수,프라다 루나 로사 카본 EDT 100ML,831
111170000429,설화수,11117,쿠션,[P] [면세전용] 쉬어 래스팅 쿠션 듀오 12g*2,832
110770000177,바이탈뷰티,11077,이너뷰티,[NEW] 슈퍼콜라겐젤리,833
111970000865,라네즈,11197,스킨 & 토너,[짝꿍세트] 크림 스킨,834
111170000141,설화수,11117,쿠션,퍼펙팅쿠션 SPF50+/PA+++,835
220220000034,리리코스 마린에너지,22022,쿠션,베일 커버 쿠션,836
180041000001,머지,18004,아이라이너,더 퍼스트 젤 아이라이너,837
005031000010,라 리베라,00503,스펀지&퍼프,라그랑 천연해면 바디용 - L SIZE 1+1,838
110650000574,마몽드,11065,크림,바이탈 비타민 크림,839
111310000256,미쟝센,11131,에센스 & 세럼,멘 올앳원스 3in1 에센스,840
001051000010,해서린,00105,필링 & 스크럽,딥 클린 티트리 필오프 팩 170g,841
111410100303,려,11141,헤어,편백수 두피청정 수분정화 기획세트,842
001051000028,해서린,00105,코팩,포어클리어 코팩 & 타이트닝 젤 키트 10회분,843
111410100321,려,11141,샴푸,[2입] 자양윤모 탈모증상케어 민감성 두피용 샴푸,844
111771000967,이니스프리,11177,아이라이너,19´ 파워프루프 브러쉬 라이너,845
002051000002,세잔느,00205,블러셔,[세잔느] 내추럴치크N,846
220110000055,구딸파리,22011,여성향수,로즈폼퐁 EDP,847
111310100626,미쟝센,11131,트리트먼트 & 팩,[2입] 에이징 케어 트리트먼트,848
002061000551,에뛰드하우스,00206,용기,마이뷰티툴 섀도우 공용기 8구 NEW,849
002061000062,에뛰드하우스,00206,립틴트,매트 시크 립라커,850
002061000350,에뛰드하우스,00206,컬러,핫스타일 버블 헤어 컬러링,851
111910000003,꿀톤,11191,크림,꿀톤 캡슐 크림,852
111930000006,시예누,11193,앰플,타임브레이스 앰플,853
