"prd_cd","tg_prd_cd_cd","prd_nm","prd_cd_cd","prd_brnd_nm","prd_brnd_nm_cd","tg_prd_brnd_nm_cd","apmall_cate_lev1","apmall_cate_lev1_nm","apmall_cate_lev1_cd","tg_apmall_cate_lev1_cd","apmall_cate_lev2","apmall_cate_lev2_nm","apmall_cate_lev2_cd","tg_apmall_cate_lev2_cd","apmall_cate_lev3","apmall_cate_lev3_nm","apmall_cate_lev3_cd","tg_apmall_cate_lev3_cd","brand_sn","brand_name","brand_sn_cd","tg_brand_sn_cd","set_yn","set_yn_cd","tg_set_yn_cd","brnd_grp_nm","brnd_grp_nm_cd","tg_brnd_grp_nm_cd","brnd_dtl_cd","brnd_dtl_nm","brnd_dtl_cd_cd","tg_brnd_dtl_cd_cd","prd_mkt_cat_cd","prd_mkt_cat_nm","prd_mkt_cat_cd_cd","tg_prd_mkt_cat_cd_cd","prd_mkt_lcat_cd","prd_mkt_lcat_nm","prd_mkt_lcat_cd_cd","tg_prd_mkt_lcat_cd_cd","prd_use_cd","prd_use_cd_cd","tg_prd_use_cd_cd","prd_scat_cd","prd_scat_nm","prd_scat_cd_cd","tg_prd_scat_cd_cd","prd_mcat_cd","prd_mcat_nm","prd_mcat_cd_cd","tg_prd_mcat_cd_cd","prd_lcat_cd","prd_lcat_nm","prd_lcat_cd_cd","tg_prd_lcat_cd_cd","main_func_cd","main_func_nm","main_func_cd_cd","tg_main_func_cd_cd","user_tp_cd","user_tp_cd_nm","user_tp_cd_cd","tg_user_tp_cd_cd","prd_grd_cd","prd_grd_cd_cd","tg_prd_grd_cd_cd"
"310050000097","946","[3입세트] 치석케어 오리지널/구취/화이트/잇몸","946","메디안","24","24","CTG004","생활용품","3","3","CTG004003","구강","16","16","CTG004003001","치약","64","64","35","메디안","24","24","N","0","0","데일리뷰티","2","2","31005","메디안","44","44","Z3","덴탈(비화장품)","18","18","H","HBD외","0","0","01","1","1","AEA","치약","42","42","AE","오랄","4","4","A","Beauty","0","0","FA01","오랄 _치석제거","60","60","1","공용","1","1","R12","5","5"
"111771001405","807","브라이트닝 포어 세럼 30mL+스타터 세트","807","이니스프리","59","59","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002003","에센스 & 세럼","10","10","41","이니스프리","27","27","N","0","0","관계사","1","1","13117","이니스프리 본품　","32","32","S3","미백(스킨케어)","10","10","S","스킨케어","2","2","","0","0","AAC","에센스","2","2","AA","스킨케어","0","0","A","Beauty","0","0","AA05","스킨케어 _미백 (스팟. 톤)","5","5","1","공용","1","1","","0","0"
"111170000295","509","자정 브라이트닝 쿠션 SPF50+ PA+++","509","설화수","39","39","CTG002","메이크업","1","1","CTG002001","페이스","6","6","CTG002001006","쿠션","26","26","18","설화수","7","7","N","0","0","럭셔리","3","3","11117","설화수","12","12","M1","쿠션(메이크업)","1","1","M","메이크업","1","1","01","1","1","ABI","쿠션","17","17","AB","메이크업","1","1","A","Beauty","0","0","BA03","메이크업_미백","16","16","2","여성용","2","2","R13","6","6"
"111270100241","573","[2입] 세라마이드 아토 6.0 탑투토워시","573","일리윤","61","61","CTG004","생활용품","3","3","CTG004001","바디","14","14","CTG004001001","바디워시","47","47","19","일리윤","8","8","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"220220000110","935","이지 마스크","935","리리코스 마린에너지","19","19","CTG001","스킨케어","0","0","CTG001003","스페셜 케어","3","3","CTG001003001","마스크 & 팩","15","15","34","리리코스 마린에너지","23","23","N","0","0","프리미엄","4","4","22022","리리코스 온라인","43","43","S6","마스크(스킨케어)","13","13","S","스킨케어","2","2","01","1","1","AAG","마스크","6","6","AA","스킨케어","0","0","A","Beauty","0","0","AA08","스킨케어 _수분/보습","7","7","1","공용","1","1","X00","12","12"
"110650000406","319","에이지컨트롤 스킨 소프너","319","마몽드","21","21","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002001","스킨 & 토너","8","8","11","마몽드","2","2","N","0","0","프리미엄","4","4","11065","마몽드","5","5","S2","안티에이징(스킨케어)","9","9","S","스킨케어","2","2","01","1","1","AAA","스킨","0","0","AA","스킨케어","0","0","A","Beauty","0","0","AA02","스킨케어 _안티에이징_피부탄력. 재생","2","2","2","여성용","2","2","R99","9","9"
"111070000370","391","셀에센스 바이옴 플러스","391","헤라","78","78","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002003","에센스 & 세럼","10","10","15","헤라","5","5","N","0","0","럭셔리","3","3","11157","헤라　","18","18","S3","미백(스킨케어)","10","10","S","스킨케어","2","2","01","1","1","AAC","에센스","2","2","AA","스킨케어","0","0","A","Beauty","0","0","AA05","스킨케어 _미백 (스팟. 톤)","5","5","2","여성용","2","2","A02","3","3"
"111771001544","814","트루케어 논나노 논코메도 무기자차 선크림 50mL","814","이니스프리","59","59",,,"9","9",,,"34","34",,,"92","92","41","이니스프리","27","27","N","0","0","관계사","1","1","13117","이니스프리 본품　","32","32","S5","페이셜 선케어(스킨케어)","12","12","S","스킨케어","2","2","01","1","1","AAH","페이셜선케어","7","7","AA","스킨케어","0","0","A","Beauty","0","0","AA06","스킨케어 _자외선차단","6","6","1","공용","1","1","A02","3","3"
"111771001527","812","트루케어 논나노 논코메도 무기자차 SPF48 80mL","812","이니스프리","59","59",,,"9","9",,,"34","34",,,"92","92","41","이니스프리","27","27","N","0","0","관계사","1","1","13117","이니스프리 본품　","32","32","S5","페이셜 선케어(스킨케어)","12","12","S","스킨케어","2","2","01","1","1","AAH","페이셜선케어","7","7","AA","스킨케어","0","0","A","Beauty","0","0","AA06","스킨케어 _자외선차단","6","6","1","공용","1","1","A00","1","1"
"007011000596","217","데렉렘 드렁크 온 유스 EDP 50ML","217","CEO 보떼","0","0","CTG003","네일 & 향수","2","2","CTG003002","향수","13","13","CTG003002","향수","42","42","77","CEO 보떼","50","50","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
